LID	AZHtt_NLL
1846	27.8341
1847	0
1848	0
1849	0
1850	0.344522
1851	0
1852	0
1853	0
1854	0
1855	40.4744
1856	0
1857	0
1858	0
1859	0
1860	0
1861	43.4383
1862	0
1863	0
1864	17.6791
1865	0
1866	0
1867	0
1868	0
1869	0
1870	0
1871	0
1872	0
1873	35.3592
1874	0
1875	0
1876	0
1877	0
1878	0
1879	138.758
1880	110.664
1881	12.1763
1882	0
1883	33.6371
1884	21.4676
1885	0
1886	0
1887	0
1888	207.75
1889	111.233
1890	0
1891	0
1892	0
1893	265.577
1894	16.4783
1895	0
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	90.7076
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	39.1738
1910	29.3273
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	202.431
1919	148.26
1920	0
1921	1.1854e-06
1922	0
1923	0
1924	0
1925	0
1926	46.1115
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	10.4179
1934	0
1935	0
1936	0
1937	0
1938	0
1939	12.2052
1940	28.5108
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	278.162
1949	10.9781
1950	178.224
1951	18.0059
1952	0
1953	0
1954	0
1955	0
1956	0
1957	52.5038
1958	0
1959	580.91
1960	197.585
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	8.80742e-05
1968	0
1969	0
1970	48.4052
1971	0
1972	0
1973	0
1974	49.4818
1975	0
1976	0
1977	0.113938
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	157.198
1988	0
1989	0
1990	0
1991	0
1992	0
1993	0
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	0
2003	0
2004	0
2005	0
2006	0
2007	12.1116
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	7.74246
2015	134.859
2016	0
2017	144.117
2018	0
2019	0
2020	84.7041
2021	0
2022	0
2023	0
2024	0
2025	297.11
2026	0
2027	0
2028	92.0945
2029	0
2030	0
2031	0
2032	0
2033	0
2034	0
2035	46.2144
2036	0
2037	0
2038	45.8713
2039	1.25844e-07
2040	0
2041	100.993
2042	0
2043	0
2044	0
2045	0
2046	24.4988
2047	1.29584
2048	66.19
2049	0
2050	0
2051	0
2052	0
2053	38.1111
2054	0
2055	0
2056	26.3961
2057	0.170338
2058	0
2059	0
2060	0.0206448
2061	27.8355
2062	0
2063	26.0391
2064	0
2065	2.6969
2066	0.116755
2067	0
2068	0
2069	0
2070	0
2071	0
2072	0
2073	0
2074	0
2075	0
2076	0
2077	0
2078	0
2079	0
2080	2.09806
2081	0
2082	0
2083	0
2084	22.1158
2085	15.8928
2086	0
2087	0
2088	32.138
2089	0
2090	0
2091	0
2092	0
2093	0
2094	0
2095	4.19366e-06
2096	0
2097	0
2098	52.2712
2099	0
2100	0
2101	0
2102	0
2103	0
2104	0
2105	0
2106	2.41992
2107	73.4192
2108	0
2109	0
2110	0
2111	0
2112	0
2113	0
2114	0
2115	0
2116	0
2117	0
2118	176.083
2119	0.197457
2120	315.557
2121	74.2543
2122	0
2123	0
2124	0
2125	6.4014e-11
2126	0
2127	8.05853e-10
2128	0
2129	0
2130	0
2131	0
2132	153.96
2133	0
2134	0
2135	24.5116
2136	0
2137	14.8536
2138	24.2877
2139	0
2140	0
2141	0
2142	0
2143	0
2144	0
2145	0
2146	47.2431
2147	25.7544
2148	134.198
2149	0
2150	0
2151	0
2152	0
2153	0
2154	52.3688
2155	1.49092e-06
2156	0
2157	0
2158	0
2159	0
2160	8.35219
2161	7.73763e-05
2162	0
2163	0
2164	0
2165	0
2166	0
2167	0
2168	95.3113
2169	41.0147
2170	4.79766
2171	0
2172	0
2173	0
2174	0
2175	0
2176	0
2177	0
2178	0
2179	0
2180	0
2181	0
2182	0
2183	0
2184	0
2185	0
2186	7.81957e-06
2187	0
2188	0
2189	0
2190	0
2191	0
2192	0
2193	186.492
2194	0
2195	257.083
2196	0
2197	0
2198	0
2199	1.84555e-06
2200	0
2201	265.491
2202	0
2203	0
2204	59.6023
2205	0
2206	15.9788
2207	0
2208	241.58
2209	0
2210	0
2211	108.743
2212	0
2213	0
2214	2.42639
2215	0
2216	0
2217	214.884
2218	0
2219	56.12
2220	0
2221	0
2222	0
2223	0
2224	7.42298
2225	0
2226	0
2227	0
2228	69.8091
2229	0
2230	107.798
2231	0
2232	0
2233	2.92766
2234	0.0673966
2235	0
2236	0
2237	1.71995
2238	17.3292
2239	0
2240	0
2241	0
2242	0
2243	0
2244	0
2245	0
2246	0
2247	34.6013
2248	0
2249	115.675
2250	0
2251	0
2252	0
2253	22.9894
2254	2.98196
2255	0
2256	197.323
2257	0
2258	0
2259	0
2260	0
2261	0
2262	0
2263	0
2264	0
2265	0
2266	134.696
2267	5.88539
2268	0
2269	4.79524
2270	394.908
2271	0
2272	0
2273	0
2274	0
2275	0
2276	0
2277	0
2278	0
2279	0
2280	0
2281	39.6098
2282	0
2283	108.385
2284	0
2285	9.17318
2286	0
2287	0
2288	55.2215
2289	0
2290	0
2291	0
2292	30.6877
2293	84.2879
2294	4.85881e-07
2295	1.54172
2296	0
2297	0
2298	0
2299	0
2300	0
2301	0
2302	0
2303	0
2304	154.21
2305	149.667
2306	0
2307	0
2308	0
2309	0
2310	0
2311	0
2312	0
2313	0
2314	0
2315	199.526
2316	0
2317	59.4043
2318	1.95477
2319	0.0284678
2320	0
2321	0
2322	159.551
2323	0
2324	0
2325	84.5224
2326	0
2327	0
2328	0
2329	0
2330	0
2331	0
2332	0
2333	0
2334	0
2335	12.8485
2336	537.582
2337	0
2338	11.4855
2339	0
2340	0
2341	0
2342	0
2343	0
2344	0
2345	0
2346	0
2347	0
2348	0
2349	0
2350	0
2351	0
2352	0
2353	0
2354	272.445
2355	0
2356	258.224
2357	0
2358	14.557
2359	0
2360	0
2361	0
2362	0
2363	0
2364	247.506
2365	105.574
2366	1.23977
2367	0
2368	17.4481
2369	0
2370	0
2371	0
2372	5.00176e-06
2373	0
2374	6.29601e-05
2375	0
2376	0
2377	0.00444065
2378	31.3209
2379	0
2380	0
2381	0
2382	0
2383	33.8424
2384	0
2385	12.8623
2386	1.19125
2387	0
2388	0
2389	0
2390	0
2391	0
2392	0.00067265
2393	0
2394	0
2395	0
2396	0
2397	0
2398	84.0882
2399	0
2400	0
2401	29.577
2402	0
2403	0
2404	82.4669
2405	0
2406	0
2407	0
2408	0
2409	0
2410	0
2411	54.8475
2412	0
2413	0
2414	0
2415	0
2416	478.441
2417	184.783
2418	0
2419	0
2420	0
2421	92.6929
2422	0
2423	0
2424	0
2425	0
2426	4.43901
2427	33.0247
2428	4.02473
2429	0
2430	32.4511
2431	0
2432	0
2433	20.51
2434	0
2435	0
2436	0
2437	31.0955
2438	0
2439	80.1569
2440	0
2441	0
2442	0
2443	0
2444	0
2445	402.604
2446	0
2447	0
2448	0
2449	0
2450	0
2451	0
2452	118.78
2453	0
2454	232.721
2455	144.493
2456	0
2457	0
2458	362.586
2459	0
2460	224.557
2461	0
2462	248.691
2463	0
2464	0
2465	0
2466	580.992
2467	30.1026
2468	75.5864
2469	51.6331
2470	0
2471	0
2472	9.68692
2473	56.9957
2474	0
2475	0
2476	0
2477	0
2478	0
2479	150.196
2480	0
2481	0
2482	0
2483	0
2484	0
2485	1.18661e-05
2486	0
2487	31.4468
2488	0
2489	0
2490	17.1041
2491	27.9412
2492	0
2493	0
2494	0
2495	277.318
2496	0
2497	0
2498	0
2499	0
2500	0
2501	0
2502	0
2503	0
2504	0
2505	0
2506	118.722
2507	0
2508	10.09
2509	0
2510	0
2511	0
2512	0
2513	216.349
2514	0.709704
2515	28.3443
2516	30.0985
2517	0
2518	131.33
2519	0
2520	0
2521	0
2522	0.0196164
2523	0
2524	0
2525	208.955
2526	0
2527	1.91083e-05
2528	0
2529	62.7963
2530	0
2531	0
2532	64.7108
2533	0
2534	0
2535	0
2536	0
2537	0
2538	3.02488
2539	31.7844
2540	39.1956
2541	12.1588
2542	39.0332
2543	0
2544	0
2545	0
2546	0
2547	0
2548	16.3419
2549	217.504
2550	3.87251e-07
2551	3.39163e-05
2552	0
2553	0
2554	0
2555	0
2556	0
2557	0
2558	25.0977
2559	0
2560	0
2561	0
2562	23.3889
2563	0
2564	0
2565	62.1917
2566	0
2567	0
2568	0
2569	0
